days,performances,loads
1,466.2,56.35
2,NA,0
3,440.5,59.15
4,NA,110.6
5,402.3,0
6,418.9,0
7,NA,65.625
8,378.7,57.6
9,400.8,0
10,357.4,105.05
11,384.4,0
12,NA,135.8
13,324.9,58.975
14,300.4,99.225
15,261.1,132.3
16,213.8,158.025
17,NA,0
18,271.2,81.55
19,252,117.775
20,263.2,74.9
21,235.6,139.825
22,NA,0
23,NA,122.85
24,338.4,0
25,302.3,146.825
26,NA,125
27,255.3,156.975
28,280.4,74.375
29,302.6,76.125
30,369,0
31,427,0
32,NA,0
33,424.1,161.875
34,476.7,0
35,476,77.175
36,439.1,138.775
37,424.3,112.7
38,480.4,0
39,NA,0
40,462.1,181.125
41,NA,66.15
42,447.4,131.6
43,404.3,165.9
44,339.9,214.025
45,415.1,0
46,408.1,120.75
47,383.1,154.525
48,NA,95.025
49,366.8,173.6
50,NA,0
51,513.1,0
52,NA,0
53,509.4,187.95
54,435.6,223.65
55,384.4,205.975
56,381.6,140.525
57,NA,88.55
58,492.6,0
59,498.5,106.4
60,454.6,189.35
61,409.8,203.7
62,495.3,0
63,NA,101.675
64,475,177.1
65,471.6,137.375
66,417.1,225.4
67,507.4,0
68,453.8,219.275
69,NA,91.35
70,461.9,180.075
71,416.8,222.775
72,354.6,264.95
73,462.7,0
74,473.1,138.6
75,NA,189.7
76,550.6,0
77,499.5,225.75
78,592.7,0
79,NA,0
80,741.2,0
81,NA,245
82,556.7,278.425
83,NA,248.5
84,510,134.75
85,533.4,120.575
86,626.8,0
87,643.7,105.35
88,588.6,221.9
89,NA,256.2
90,619.7,0
91,630.6,121.975
92,585,214.375
93,573.3,170.45
94,NA,268.275
95,609.9,0
96,541.3,264.075
97,575.2,112
98,552.9,198.8
99,497.9,260.575
100,417.5,319.025
101,542.2,0
102,NA,0
103,NA,210.525
104,NA,158.025
105,561.3,260.75
106,669.5,0
107,620.5,236.075
108,721.2,0
109,625.8,302.4
110,NA,334.25
111,462.3,301.175
112,488,170.625
