days,performances,loads
1,6.144614727,40.3158224
2,NA,0
3,6.087910445,40.8007659
4,NA,47.05920089
5,5.997198079,0
6,6.037632228,0
7,NA,41.83956721
8,5.936744335,40.53522568
9,5.99346255,0
10,5.878855603,46.54436427
11,5.951683677,0
12,NA,49.11183215
13,5.783517443,40.77113625
14,5.70511492,45.97389999
15,5.564903476,48.85072071
16,5.365040999,50.62753248
17,NA,0
18,5.602856556,44.01216329
19,5.529429088,47.68776025
20,5.572914199,43.16153891
21,5.462135452,49.40391641
22,NA,0
23,NA,48.10964099
24,5.824228628,0
25,5.711419902,49.89241401
26,NA,48.28313737
27,5.542439324,50.56086557
28,5.636217155,43.09119864
29,5.712411801,43.32376726
30,5.910796644,0
31,6.056784013,0
32,NA,0
33,6.049969276,50.86824432
34,6.166887362,0
35,6.165417854,43.4607557
36,6.084727178,49.32853917
37,6.050440752,47.24729421
38,6.17461909,0
39,NA,0
40,6.135781318,51.99187401
41,NA,41.91924891
42,6.103453049,48.79767019
43,6.002157177,51.11385197
44,5.828651457,53.66092831
45,6.028519455,0
46,6.011512242,47.93722293
47,5.948296052,50.40355896
48,NA,45.54140015
49,5.90481674,51.56753802
50,NA,0
51,6.240470758,0
52,NA,0
53,6.233233563,52.3617597
54,6.076724391,54.1008233
55,5.951683677,53.27754802
56,5.94437294,49.45385409
57,NA,44.83567364
58,6.199697486,0
59,6.211603589,46.67205577
60,6.119417911,52.43597154
61,6.015669236,53.16648323
62,6.20516364,0
63,NA,46.21781452
64,6.163314804,51.76714545
65,6.156131169,49.22714413
66,6.033326001,54.17876602
67,6.229299647,0
68,6.117656572,53.9032665
69,NA,45.14698283
70,6.135348417,51.93373431
71,6.03260649,54.06162293
72,5.870990394,55.79541129
73,6.137078896,0
74,6.159306783,49.31592087
75,NA,52.45443877
76,6.311008593,0
77,6.213607598,54.19428192
78,6.384688369,0
79,NA,0
80,6.608270494,0
81,NA,55.01258211
82,6.322026495,56.29148723
83,NA,55.15442846
84,6.234410726,49.0342121
85,6.279271612,47.92271966
86,6.44062751,0
87,6.467232779,46.5728814
88,6.377746836,54.0222683
89,NA,55.45958389
90,6.42923549,0
91,6.446671747,48.03816106
92,6.371611847,53.67726818
93,6.35140914,51.38441999
94,NA,55.92012574
95,6.413295009,0
96,6.293973654,55.76233154
97,6.354717806,47.18498871
98,6.315177153,52.92299294
99,6.210399254,55.62890728
100,6.034284544,57.6526947
101,6.295634937,0
102,NA,0
103,NA,53.49604411
104,NA,50.62753248
105,6.330255522,55.63562094
106,6.506531165,0
107,6.430525605,54.64149551
108,6.580916491,0
109,6.439030831,57.11750644
110,NA,58.11889216
111,6.136214031,57.07691491
112,6.190315406,51.39468166
